news_website,url,original_language,owner,city,canton,occurrence,status
Giornale del Popolo,https://www.gdp.ch,Italian,Nuova Società Editrice del Giornale del Popolo SA,Lugano,Canton of Ticino,Daily,current
Il Grigione Italiano,,Italian,,Poschiavo,Canton of the Grisons,Weekly,current
LaNotizia,,Italian,S. Publishing,Basel,Basel-Stadt,Daily,current
laRegione,,Italian,Giacomo Salvioni,Bellinzona,Canton of Ticino,Daily,current
20 Minuti,,Italian,TX Group,,,Daily,current
La Pagina da Surmeir [de],,Romansch,,,Canton of the Grisons,,current
La Quotidiana,https://www.laquotidiana.ch,Romansch,Somedia,Chur,Canton of the Grisons,Daily,current
Engadiner Post [de] / Posta Ladina,,Romansch,Gammeter Media AG,,Canton of the Grisons,,current
Bota Sot,,Other,Mazrekaj Media,Zurich (formerly; now published in Kosovo),Canton of Zurich,Daily,current
Le News,,Other,Le News Sàrl,Lausanne,Canton of Vaud,Twice weekly,current
Rorschacher Monatsschrift [de],,German,,,,,defunct
Ordinari-Zeitung,,German,,Basel,Basel-Stadt,Weekly,defunct
Ordinari-Zeitung,,German,,Zurich,Canton of Zurich,Weekly,defunct
Ordinari-Zeitung,,German,,Lucerne,Canton of Lucerne,Weekly,defunct
Berner Zeitung,,German,,Bern,Canton of Bern,,defunct
Ordinari-Mittwochen-Zeitung,,German,,Zurich,Canton of Zurich,Weekly,defunct
Donnerstägliche Post- und Ordinari-Zeitung,,German,,Bern,Canton of Bern,Weekly,defunct
Zinstägliche Ordinari-Zeitung,,German,,Bern,Canton of Bern,Weekly,defunct
Berner Wochenblatt,,German,,Bern,Canton of Bern,Weekly,defunct
Zürcherisches Wochenblatt,,German,,Zurich,Canton of Zurich,Twice weekly,defunct
Berner Volksfreund,,German,,Burgdorf,Canton of Bern,Twice weekly,defunct
Allgemeine Schweizer Zeitung,,German,,Bern,Canton of Bern,Thrice weekly,defunct
Bündner Landbote,,German,,Chur,Canton of the Grisons,Weekly,defunct
Berner Volkszeitung,,German,,Bern,Canton of Bern,Daily,defunct
Der freie Rhätier,,German,,,,Biweekly,defunct
"Wochenblatt für die vier löblichen Kantone Ury, Schwytz, Unterwalden und Zug",,German,,Zug,Canton of Zug,Weekly,defunct
Zugerisches Kantonsblatt,,German,,Zug,Canton of Zug,Weekly,defunct
Solothurner Blatt,,German,,,Canton of Solothurn,Twice weekly,defunct
Der Wahrheitsfreund,,German,,St. Gallen,Canton of St. Gallen,Weekly,defunct
Der Zugerbieter,,German,,Zug,Canton of Zug,Weekly,defunct
Tagwacht,,German,,Zurich,Canton of Zurich,Twice weekly,defunct
Der Sozialdemokrat,,German,,Zurich,Canton of Zurich,,defunct
Neue Zuger Zeitung,,German,,Zug,Canton of Zug,,defunct
Bündner Nachrichten,,German,,Chur,Canton of the Grisons,Daily,defunct
Der Schweizerische Sozialdemokrat,,German,,,Canton of Bern,,defunct
Berner Zeitung,,German,,Bern,Canton of Bern,Daily,defunct
Walliser Nachrichten,,German,,Sierre,Canton of Valais,Twice weekly,defunct
Zürcher Nachrichten,,German,,Zurich,Canton of Zurich,Daily,defunct
Seeländer Nachrichten,,German,,,Canton of Bern,,defunct
Tagblatt für die Stadt Biel,,German,,,Canton of Bern,,defunct
Der Weckruf,,German,,Geneva,Canton of Geneva,,defunct
Berner Volksfreund,,German,,Burgdorf,Canton of Bern,Daily,defunct
Zürcherische Freitagszeitung [de],,German,,Zurich,Canton of Zurich,Weekly,defunct
Walliser Volkszeitung,,German,,Brig,Canton of Valais,Weekly,defunct
Volkswacht am Bodensee,,German,,Romanshorn,Canton of Thurgau,,defunct
Der Demokrat,,German,,,Canton of Valais,,defunct
Briger Anzeiger,,German,,,Canton of Valais,Twice weekly,defunct
Zuger Volksblatt,,German,,Zug,Canton of Zug,Thrice weekly,defunct
Seeländer Volkszeitung,,German,,Biel/Bienne,Canton of Bern,,defunct
Neue Berner Zeitung,,German,,,Canton of Bern,,defunct
Der Freie Rätier,,German,,,Canton of the Grisons,Daily,defunct
National-Zeitung,,German,,Basel,Basel-Stadt,,defunct
Basler Nachrichten,,German,,Basel,Basel-Stadt,Daily,defunct
Berner Nachrichten,,German,,,Canton of Bern,,defunct
Die Tat,,German,,Zurich,Canton of Zurich,Daily,defunct
Walliser Volksfreund,,German,,Brig,Canton of Valais,Weekly,defunct
Nidwaldner Volksblatt,,German,,,Canton of Nidwalden,Daily,defunct
Neue Zürcher Nachrichten,,German,,Zurich,Canton of Zurich,Daily,defunct
Badener Tagblatt,,German,,,Canton of Aargau,Daily,defunct
Zuger Nachrichten [de],,German,,Zug,Canton of Zug,Daily,defunct
Zuger Zeitung,,German,,,,,defunct
Berner Tagwacht,,German,,Bern,Canton of Bern,Daily,defunct
Neue Bündner Zeitung,,German,,Chur,Canton of the Grisons,Daily,defunct
Die Hauptstadt,,German,,Bern,Canton of Bern,Weekly,defunct
Aktiv,,German,,,Canton of Bern,Monthly,defunct
Metropol,,German,,,,Daily,defunct
Die Weltwoche,,German,,Zurich,Canton of Zurich,Weekly,defunct
Wir Brückenbauer,,German,,Zurich,Canton of Zurich,Weekly,defunct
Heute,,German,,Zurich,Canton of Zurich,Daily,defunct
.ch,,German,,Zurich,Canton of Zurich,Daily,defunct
News,,German,,,,Daily,defunct
Burgdorfer Tagblatt [de],,German,,Burgdorf,Canton of Bern,Five times a week,defunct
Schweiz am Sonntag,,German,,,,Weekly,defunct
Blick am Abend,,German,,Zurich,Canton of Zurich,Daily,defunct
Gazette de Berne,,French,,Bern,Canton of Bern,Twice weekly,defunct
Bulletin des séances de la Constituante,,French,,,Canton of Valais,Thrice weekly,defunct
Le Léman,,French,,Nyon,Canton of Vaud,,defunct
Le défenseur de la religion et du peuple,,French,,,Canton of Valais,Weekly,defunct
Kolokol,,French,,Geneva,Canton of Geneva,Weekly,defunct
Le bien public,,French,,Fribourg,Canton of Fribourg,Thrice weekly,defunct
Le Bas-Valaisan,,French,,Monthey,Canton of Valais,Weekly,defunct
Le Simplon,,French,,,Canton of Valais,,defunct
Le Grutléen,,French,,Lausanne,Canton of Vaud,Weekly,defunct
La Nouvelle Internationale,,French,,Geneva,Canton of Geneva,Weekly,defunct
L’Ami du Peuple,,French,,,Canton of Valais,Twice weekly,defunct
L'Avenir,,French,,Monthey,Canton of Valais,Weekly,defunct
La Nation Arabe,,French,,Geneva,Canton of Geneva,Monthly,defunct
Le Réveil,,French,,Geneva,Canton of Geneva,Bimonthly,defunct
Le Droit du Peuple,,French,,Lausanne,Canton of Vaud,Daily,defunct
Le Travail,,French,,Geneva,Canton of Geneva,Daily,defunct
Le Progrès radical,,French,,Château-d'Œx,Canton of Vaud,,defunct
Curieux,,French,,Neuchâtel,Canton of Neuchâtel,Weekly,defunct
La Sentinelle,,French,,La Chaux-de-Fonds,Canton of Neuchâtel,Daily,defunct
Le Peuple,,French,,,,Daily,defunct
Courrier de La Côte,,French,,Nyon,Canton of Vaud,Thrice weekly,defunct
Feuille d'Avis de Bulle et de Châtel-Saint-Denis,,French,,,Canton of Fribourg,,defunct
Le Peuple - La Sentinelle,,French,,La Chaux-de-Fonds,Canton of Neuchâtel,Daily,defunct
Tribune de Lausanne [fr],,French,,Lausanne,Canton of Vaud,Daily,defunct
Journal de Nyon,,French,,Nyon,Canton of Vaud,Thrice weekly,defunct
Journal de Château-d'Œx libéral,,French,,Château-d'Œx,Canton of Vaud,,defunct
Gazette de Lausanne,,French,,Geneva,Canton of Geneva,Daily,defunct
Journal de Genève,,French,,Geneva,Canton of Geneva,Daily,defunct
Le Pays,,French,,Porrentruy,Canton of Jura,Daily,defunct
Le Démocrate,,French,,Delémont,Canton of Jura,Daily,defunct
La Suisse,,French,,Geneva,Canton of Geneva,Daily,defunct
Journal de Genève et Gazette de Lausanne,,French,,Geneva,Canton of Geneva,Daily,defunct
